Sector,EIA Subsector,VISION Category,End-Use Application,Powertrain,Energy Carrier,Energy Carrier Type,Sector: USDT,Subsector: USDT,End Use Application: USDT,Energy carrier: USDT,Energy carrier type: USDT
Transportation,Freight Trucks,MDV,Light Medium,-,E-85,Gasoline,Transportation,On Road,Freight Trucks,E85,Petroleum Gasoline
Transportation,Freight Trucks,MDV,Light Medium,-,E-85,Ethanol,Transportation,On Road,Freight Trucks,E85,"Ethanol, Conventional"
Transportation,Freight Trucks,MDV,Light Medium,-,Natural Gas,Natural Gas,Transportation,On Road,Freight Trucks,Liquefied Natural Gas,U.S. Average Mix
Transportation,Freight Trucks,MDV,Light Medium,-,Diesel,Diesel,Transportation,On Road,Freight Trucks,Diesel,Petroleum Distillate
Transportation,Freight Trucks,MDV,Light Medium,-,Bio-Diesel,Bio-Diesel,Transportation,On Road,Freight Trucks,Diesel,Biodiesel
Transportation,Freight Trucks,MDV,Light Medium,-,FT Diesel,FT Diesel,Transportation,On Road,Freight Trucks,Diesel,FT-Diesel
Transportation,Freight Trucks,MDV,Light Medium,-,Electricity,Electricity,Transportation,On Road,Freight Trucks,Electricity,U.S. Average Grid Mix
Transportation,Freight Trucks,MDV,Light Medium,-,Hydrogen,Hydrogen,Transportation,On Road,Freight Trucks,Hydrogen,Renewables
Transportation,Freight Trucks,MDV,Medium,-,Gasoline ICE,Gasoline,Transportation,On Road,Freight Trucks,Motor Gasoline,Petroleum Gasoline
Transportation,Freight Trucks,MDV,Medium,-,Gasoline ICE,Ethanol,Transportation,On Road,Freight Trucks,Motor Gasoline,"Ethanol, Conventional"
Transportation,Freight Trucks,MDV,Medium,-,E-85,Gasoline,Transportation,On Road,Freight Trucks,E85,Petroleum Gasoline
Transportation,Freight Trucks,MDV,Medium,-,E-85,Ethanol,Transportation,On Road,Freight Trucks,E85,"Ethanol, Conventional"
Transportation,Freight Trucks,MDV,Medium,-,Natural Gas,Natural Gas,Transportation,On Road,Freight Trucks,Liquefied Natural Gas,U.S. Average Mix
Transportation,Freight Trucks,MDV,Medium,-,Diesel,Diesel,Transportation,On Road,Freight Trucks,Diesel,Petroleum Distillate
Transportation,Freight Trucks,MDV,Medium,-,Bio-Diesel,Bio-Diesel,Transportation,On Road,Freight Trucks,Diesel,Biodiesel
Transportation,Freight Trucks,MDV,Medium,-,FT Diesel,FT Diesel,Transportation,On Road,Freight Trucks,Diesel,FT-Diesel
Transportation,Freight Trucks,MDV,Medium,-,Electricity,Electricity,Transportation,On Road,Freight Trucks,Electricity,U.S. Average Grid Mix
Transportation,Freight Trucks,MDV,Medium,-,Hydrogen,Hydrogen,Transportation,On Road,Freight Trucks,Hydrogen,Renewables
Transportation,Freight Trucks,HDV,Vocational,-,-,Gasoline,Transportation,On Road,Freight Trucks,Motor Gasoline,Petroleum Gasoline
Transportation,Freight Trucks,HDV,Vocational,-,-,Diesel,Transportation,On Road,Freight Trucks,Diesel,Petroleum Distillate
Transportation,Freight Trucks,HDV,Vocational,-,-,CNG,Transportation,On Road,Freight Trucks,Liquefied Natural Gas,U.S. Average Mix
Transportation,Freight Trucks,HDV,Vocational,-,-,F-T Diesel,Transportation,On Road,Freight Trucks,Diesel,FT-Diesel
Transportation,Freight Trucks,HDV,Vocational,-,-,Biodiesel,Transportation,On Road,Freight Trucks,Diesel,Biodiesel
Transportation,Freight Trucks,HDV,Vocational,-,-,Hydrogen,Transportation,On Road,Freight Trucks,Hydrogen,Renewables
Transportation,Freight Trucks,HDV,Vocational,-,-,Electric ,Transportation,On Road,Freight Trucks,Electricity,U.S. Average Grid Mix
Transportation,Freight Trucks,HDV,Vocational,-,-,LPG,Transportation,On Road,Freight Trucks,Propane,-
Transportation,Freight Trucks,HDV,Vocational,-,-,Ethanol,Transportation,On Road,Freight Trucks,Motor Gasoline,"Ethanol, Conventional"
Transportation,Freight Trucks,HDV,Day Cab,-,-,Gasoline,Transportation,On Road,Freight Trucks,Motor Gasoline,Petroleum Gasoline
Transportation,Freight Trucks,HDV,Day Cab,-,-,Diesel,Transportation,On Road,Freight Trucks,Diesel,Petroleum Distillate
Transportation,Freight Trucks,HDV,Day Cab,-,-,CNG,Transportation,On Road,Freight Trucks,Liquefied Natural Gas,U.S. Average Mix
Transportation,Freight Trucks,HDV,Day Cab,-,-,F-T Diesel,Transportation,On Road,Freight Trucks,Diesel,FT-Diesel
Transportation,Freight Trucks,HDV,Day Cab,-,-,Biodiesel,Transportation,On Road,Freight Trucks,Diesel,Biodiesel
Transportation,Freight Trucks,HDV,Day Cab,-,-,Hydrogen,Transportation,On Road,Freight Trucks,Hydrogen,Renewables
Transportation,Freight Trucks,HDV,Day Cab,-,-,Electric ,Transportation,On Road,Freight Trucks,Electricity,U.S. Average Grid Mix
Transportation,Freight Trucks,HDV,Day Cab,-,-,LPG,Transportation,On Road,Freight Trucks,Propane,-
Transportation,Freight Trucks,HDV,Day Cab,-,-,Ethanol,Transportation,On Road,Freight Trucks,Motor Gasoline,"Ethanol, Conventional"
Transportation,Freight Trucks,HDV,Sleeper,-,-,Gasoline,Transportation,On Road,Freight Trucks,Motor Gasoline,Petroleum Gasoline
Transportation,Freight Trucks,HDV,Sleeper,-,-,Diesel,Transportation,On Road,Freight Trucks,Diesel,Petroleum Distillate
Transportation,Freight Trucks,HDV,Sleeper,-,-,CNG,Transportation,On Road,Freight Trucks,Liquefied Natural Gas,U.S. Average Mix
Transportation,Freight Trucks,HDV,Sleeper,-,-,F-T Diesel,Transportation,On Road,Freight Trucks,Diesel,FT-Diesel
Transportation,Freight Trucks,HDV,Sleeper,-,-,Biodiesel,Transportation,On Road,Freight Trucks,Diesel,Biodiesel
Transportation,Freight Trucks,HDV,Sleeper,-,-,Hydrogen,Transportation,On Road,Freight Trucks,Hydrogen,Renewables
Transportation,Freight Trucks,HDV,Sleeper,-,-,Electric ,Transportation,On Road,Freight Trucks,Electricity,U.S. Average Grid Mix
Transportation,Freight Trucks,HDV,Sleeper,-,-,LPG,Transportation,On Road,Freight Trucks,Propane,-
Transportation,Freight Trucks,HDV,Sleeper,-,-,Ethanol,Transportation,On Road,Freight Trucks,Motor Gasoline,"Ethanol, Conventional"
