Correspondence file for aggregations of LULUCF end use applications,,
,,
,,
LULUCF end use application_Decarb,Assigned Sector,LULUCF end use application_Front agg
"Other Land Converted to Forest Land, Litter",LULUCF,Other Converted Land
"Other Land Converted to Forest Land, Mineral Soil",LULUCF,Other Converted Land
"Other Land Converted to Vegetated Coastal Wetlands, -",LULUCF,Other Converted Land
"Other Land Converted to Vegetated Coastal Wetlands, Biomass C Stock",LULUCF,Other Converted Land
"Other Land Converted to Vegetated Coastal Wetlands, Soil C Stock",LULUCF,Other Converted Land
"Other Lands Converted to Cropland, Mineral Soils",LULUCF,Other Converted Land
"Other Lands Converted to Cropland, Organic Soils",LULUCF,Other Converted Land
"Other Lands Converted to Grassland, Mineral Soils",LULUCF,Other Converted Land
"Other Lands Converted to Grassland, Organic Soils",LULUCF,Other Converted Land
"Other Lands Converted to Settlements, Mineral Soils",LULUCF,Other Converted Land
"Other Lands Converted to Settlements, Organic Soils",LULUCF,Other Converted Land
"Settlements Converted to Cropland, Mineral Soils",LULUCF,Converted Settlements
"Settlements Converted to Cropland, Organic Soils",LULUCF,Converted Settlements
"Settlements Converted to Forest Land, Aboveground Biomass",LULUCF,Converted Settlements
"Settlements Converted to Forest Land, Belowground Biomass",LULUCF,Converted Settlements
"Settlements Converted to Forest Land, Dead Wood",LULUCF,Converted Settlements
"Settlements Converted to Forest Land, Litter",LULUCF,Converted Settlements
"Settlements Converted to Forest Land, Mineral Soil",LULUCF,Converted Settlements
"Settlements Converted to Grassland, Mineral Soils",LULUCF,Converted Settlements
"Settlements Converted to Grassland, Organic Soils",LULUCF,Converted Settlements
"Settlements Converted to Vegetated Coastal Wetlands, -",LULUCF,Converted Settlements
"Settlements Converted to Vegetated Coastal Wetlands, Biomass C Stock",LULUCF,Converted Settlements
"Settlements Converted to Vegetated Coastal Wetlands, Soil C Stock",LULUCF,Converted Settlements
"Soil C Flux, -",LULUCF,Other
"Soil Flux, -",LULUCF,Other
Sustainable farming,LULUCF,Sustainable Farming
"Wetlands Converted to Cropland, Mineral Soils",LULUCF,Converted Wetlands
"Wetlands Converted to Cropland, Organic Soils",LULUCF,Converted Wetlands
"Wetlands Converted to Forest Land, Aboveground Biomass",LULUCF,Converted Wetlands
"Wetlands Converted to Forest Land, Belowground Biomass",LULUCF,Converted Wetlands
"Wetlands Converted to Forest Land, Dead Wood",LULUCF,Converted Wetlands
"Wetlands Converted to Forest Land, Litter",LULUCF,Converted Wetlands
"Wetlands Converted to Forest Land, Mineral Soil",LULUCF,Converted Wetlands
"Wetlands Converted to Grassland, Mineral Soils",LULUCF,Converted Wetlands
"Wetlands Converted to Grassland, Organic Soils",LULUCF,Converted Wetlands
"Wetlands Converted to Settlements, Mineral Soils",LULUCF,Converted Wetlands
"Wetlands Converted to Settlements, Organic Soils",LULUCF,Converted Wetlands
"Yard Trimmings, Branches",LULUCF,Other
"Yard Trimmings, Grass",LULUCF,Other
"Yard Trimmings, Leaves",LULUCF,Other
