Table 6-56:  Emissions and Removals from Coastal Wetlands Remaining Coastal Wetlands (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use/Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dead Organic Matter C Flux,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),0,0,0,0,0,0,0,0,0
Soil C Flux,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+)
Net N2O Flux from Aquaculture in Coastal Wetlands,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total Biomass C Flux,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.4,0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Total Dead Organic Matter C Flux,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),+,+,+,+,+,+,+,+,+,+,+,+,+,+
Total Soil C Flux,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-7.7,-7.7,-7.7,-7.7,-7.7,1,1,1.1,1.1,1.1,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7
Total CH4 Flux,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
Total N2O Flux,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total Flux,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.5,-4.5,-4.5,-4.5,-3.7,-3.7,-3.7,-3.7,-3.7,5.2,5.4,5.4,5.4,5.5,-4.6,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8
Note: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
