Table A-130: Refrigeration and Air-Conditioning Market Transition Assumptions,,,,,,,,,,,,,
Initial Market Segment,Primary Substitute,,,,Secondary Substitute,,,,Tertiary Substitute,,,,
HCFC-22,HFC-134a,2002,2009,50%,None,,,,,,,,0.30%
,R-407C,2002,2009,50%,None,,,,,,,,
Packaged Terminal Air Conditioners and Heat Pumps,,,,,,,,,,,,,
HCFC-22,R-410A,2006,2009,10%,None,,,,,,,,3.00%
,R-410A,2009,2010,90%,None,,,,,,,,
Positive Displacement Chillers (Reciprocating and Screw),,,,,,,,,,,,,
CFC-12  HCFC-22 2,HFC-134a,2000,2009,9%,R-407C,2010,2020,60%,R-450A,2017,2017,1%,2.50%
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,,,,,R-410A,2010,2020,40%,R-450A,2017,2017,1%,
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,R-407C,2000,2009,1%,R-450A,2017,2017,1%,None,,,,
,,,,,R-513A,2017,2017,1%,None,,,,
,,,,,R-450A,2018,2024,49%,None,,,,
,,,,,R-513A,2018,2024,49%,None,,,,
,HFC-134a,2009,2010,81%,R-407C,2010,2020,60%,R-450A,2017,2017,1%,
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,,,,,R-410A,2010,2020,40%,R-450A,2017,2017,1%,
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,R-407C,2009,2010,9%,R-450A,2017,2017,1%,None,,,,
,,,,,R-513A,2017,2017,1%,None,,,,
,,,,,R-450A,2018,2024,49%,None,,,,
,,,,,R-513A,2018,2024,49%,None,,,,
HCFC-22,HFC-134a,2000,2009,9%,R-407C,2010,2020,60%,R-450A,2017,2017,1%,2.50%
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,,,,,R-410A,2010,2020,40%,R-450A,2017,2017,1%,
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,R-407C,2000,2009,1%,R-450A,2017,2017,1%,None,,,,
,,,,,R-513A,2017,2017,1%,None,,,,
,,,,,R-450A,2018,2024,49%,None,,,,
,,,,,R-513A,2018,2024,49%,None,,,,
,HFC-134a,2009,2010,81%,R-407C,2010,2020,60%,R-450A,2017,2017,1%,
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,,,,,R-410A,2010,2020,40%,R-450A,2017,2017,1%,
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,R-407C,2009,2010,9%,R-450A,2017,2017,1%,None,,,,
,,,,,R-513A,2017,2017,1%,None,,,,
,,,,,R-450A,2018,2024,49%,None,,,,
,,,,,R-513A,2018,2024,49%,None,,,,
Positive Displacement Chillers (Scroll),,,,,,,,,,,,,
HCFC-22,HFC-134a,2000,2009,9%,R-407C,2010,2020,60%,R-452B,2024,2024,100%,2.50%
,,,,,R-410A,2010,2020,40%,R-452B,2024,2024,100%,
,R-407C,2000,2009,1%,R-452B,2024,2024,100%,None,,,,
,HFC-134a,2009,2010,81%,R-407C,2010,2020,60%,R-452B,2024,2024,100%,
,,,,,R-410A,2010,2020,40%,R-452B,2024,2024,100%,
,R-407C,2009,2010,9%,R-452B,2024,2024,100%,None,,,,
Refrigerated Appliances,,,,,,,,,,,,,
CFC-12,HFC-134a,1994,1995,100%,Non-ODP/GWP,2019,2021,86%,None,,,,1.70%
,,,,,R-450A,2021,2021,7%,None,,,,
,,,,,R-513A,2021,2021,7%,None,,,,
Refrigerated Food Processing and Dispensing Equipment,,,,,,,,,,,,,
CFC-12,HCFC-22,1990,1994,100%,HFC-134a,1995,1998,70%,None,,,,2.10%
,,,,,R-404A,1995,1998,30%,R-448A,2021,2021,50%,
,,,,,,,,,R-449A,2021,2021,50%,
Residential Unitary Air Conditioners,,,,,,,,,,,,,
HCFC-22,HCFC-22,2006,2006,70%,R-410A,2007,2010,29%,None,,,,1.30%
,,,,,R-410A,2010,2010,71%,None,,,,
,R-410A,2000,2005,5%,R-410A,2006,2006,100%,None,,,,
,R-410A,2000,2006,5%,None,,,,,,,,
,R-410A,2006,2006,20%,None,,,,,,,,
Retail Food (Large; Technology Transition),,,,,,,,,,,,,
DX3,DX,2001,2006,67.50%,DX,2006,2015,62%,None,,,,1.70%
,,,,,DR4,2000,2015,23%,None,,,,
,,,,,SLS5,2000,2015,15%,None,,,,
,DR,2000,2006,22.50%,None,,,,,,,,
,SLS,2000,2006,10%,None,,,,,,,,
Retail Food (Large; Refrigerant Transition) ,,,,,,,,,,,,,
CFC-12 ,R-404A,1995,2000,17.50%,R-404A,2000,2000,3.30%,R-407A,2017,2017,100%,1.70%
R-5026,,,,,R-407A,2011,2015,63.30%,None,,,,
,,,,,R-407A,2017,2017,33.30%,None,,,,
, R-507,1995,2000,7.50%,R-404A,2006,2010,71%,R-407A,2017,2017,100%,
,,,,,R-407A,2006,2010,30%,None,,,,
,HCFC-22 ,1995,2000,75%,R-404A,2006,2010,13.30%,R-407A,2011,2015,100%,
,,,,,R-407A,2001,2005,1.30%,None,,,,
,,,,,R-404A,2001,2005,12%,R-407A,2017,2017,100%,
,,,,,R-507,2001,2005,6.70%,R-407A,2011,2015,100%,
,,,,,R-404A,2006,2010,34%,R-407A,2011,2015,100%,
,,,,,R-404A,2006,2010,7.30%,R-407A,2017,2017,100%,
,,,,,R-407A,2006,2010,25.30%,None,,,,
Retail Food (Large Condensing Units),,,,,,,,,,,,,
HCFC-22,R-402A,1995,2005,5%,R-404A,2006,2006,100%,R-407A,2018,2018,100%,1.50%
,R-404A,1995,2005,25%,R-407A,2018,2018,100%, None,,,,
,R-507,1995,2005,10%,R-407A,2018,2018,100%, None,,,,
,R-404A,2008,2010,45%,R-407A,2018,2018,100%, None,,,,
,R-507,2008,2010,15%,R-407A,2018,2018,100%, None,,,,
Retail Food (Small Condensing Units),,,,,,,,,,,,,
HCFC-22,R-401A,1995,2005,6%,HFC-134a,2006,2006,100%,None,,,,1.60%
,R-402A,1995,2005,4%,HFC-134a,2006,2006,100%,None,,,,
,HFC-134a,1993,2005,30%,None,,,,,,,,
,R-404A,1995,2005,30%,R-407A,2018,2018,100%,,,,,
,R-404A,2008,2010,30%,R-407A,2018,2018,100%,,,,,
Retail Food (Small),,,,,,,,,,,,,
CFC-12,HCFC-22,1990,1993,91%,HFC-134a,1993,1995,91%,CO2,2012,2015,1%,2.20%
,,,,,,,,,Non-ODP/GWP,2012,2015,3.70%,
,,,,,,,,,Non-ODP/GWP,2014,2019,31%,
,,,,,,,,,Non-ODP/GWP,2016,2016,17.30%,
,,,,,,,,,R-450A,2016,2020,23%,
,,,,,,,,,R-513A,2016,2020,23%,
,,,,,HFC-134a,2000,2009,9%,Non-ODP/GWP,2014,2019,30%,
,,,,,,,,,R-450A,2016,2020,35%,
,,,,,,,,,R-513A,2016,2020,35%,
,R-404A,1990,1993,9%,Non-ODP/GWP,2016,2016,30%,None,,,,
,,,,,R-448A,2019,2020,35%,None,,,,
,,,,,R-449A,2019,2020,35%,None,,,,
Transport Refrigeration (Road Transport),,,,,,,,,,,,,
CFC-12,HFC-134a,1993,1995,10%,None,,,,,,,,5.50%
,R-404A,1993,1995,60%,R-452A,2017,2021,5%,,,,,
,,,,,R-452A,2021,2030,95%,,,,,
,HCFC-22,1993,1995,30%,R-410A,2000,2003,5%,None,,,,
,,,,,R-404A,2006,2010,95%,R-452A,2017,2021,5%,
,,,,,,,,,R-452A,2021,2030,95%,
Transport Refrigeration (Intermodal Containers),,,,,,,,,,,,,
CFC-12,HFC-134a,1993,1993,60%,CO2,2017,2021,5%,None,,,,7.30%
,R-404A,1993,1993,5%,CO2,2017,2021,5%,None,,,,
,HCFC-22,1993,1993,35%,HFC-134a,2000,2010,100%,CO2,2017,2021,5%,
Transport Refrigeration (Merchant Fishing Transport),,,,,,,,,,,,,
HCFC-22,HFC-134a,1993,1995,10%,None,,,,,,,,5.70%
,R-507,1994,1995,10%,None,,,,,,,,
,R-404A,1993,1995,10%,None,,,,,,,,
,HCFC-22,1993,1995,70%,R-407C,2000,2005,3%,R-410A,2005,2007,100%,
,,,,,R-507,2006,2010,49%,None,,,,
,,,,,R-404A,2006,2010,49%,None,,,,
Transport Refrigeration (Reefer Ships),,,,,,,,,,,,,
HCFC-22,HFC-134a,1993,1995,3.30%,None,,,,,,,,4.20%
,R-507,1994,1995,3.30%,None,,,,,,,,
,R-404A,1993,1995,3.30%,None,,,,,,,,
,HCFC-22,1993,1995,90%,HFC-134a,2006,2010,25%,None,,,,
,,,,,R-507,2006,2010,25%,None,,,,
,,,,,R-404A,2006,2010,25%,None,,,,
,,,,,R-407C,2006,2010,25%,None,,,,
Transport Refrigeration (Vintage Rail Transport),,,,,,,,,,,,,
CFC-12,HCFC-22,1993,1995,100%,HFC-134a,1996,2000,100%,None,,,,-100%
Transport Refrigeration (Modern Rail Transport),,,,,,,,,,,,,
HFC-134a,R-404A,1999,1999,50%,None,,,,,,,,0.30%
,HFC-134a,2005,2005,50%,None,,,,,,,,
Vending Machines,,,,,,,,,,,,,
CFC-12,HFC-134a,1995,1998,90%,CO2,2012,2012,1%,Propane,100%,2019,2019,-0.03%
,,,,,Propane,2013,2017,39%,None,,,,
,,,,,Propane,2014,2014,1%,None,,,,
,,,,,Propane,2019,2019,49%,None,,,,
,,,,,R-450A,2019,2019,5%,None,,,,
,,,,,R-513A,2019,2019,5%,None,,,,
,R-404A,1995,1998,10%,R-450A,2019,2019,50%,None,,,,
,,,,,R-513A,2019,2019,50%,None,,,,
Water-Source and Ground-Source Heat Pumps,,,,,,,,,,,,,
HCFC-22,R-407C,2000,2006,5%,None,,,,,,,,1.30%
,R-410A,2000,2006,5%,None,,,,,,,,
,HFC-134a,2000,2009,2%,None,,,,,,,,
,R-407C,2006,2009,2.50%,None,,,,,,,,
,R-410A,2006,2009,4.50%,None,,,,,,,,
,HFC-134a,2009,2010,18%,None,,,,,,,,
,R-407C,2009,2010,22.50%,None,,,,,,,,
,R-410A,2009,2010,40.50%,None,,,,,,,,
Window Units,,,,,,,,,,,,,
HCFC-22,R-410A,2008,2009,10%,None,,,,,,,,4.00%
,R-410A,2009,2010,90%,None,,,,,,,,
1 Transitions between the start year and date of full penetration in new equipment are assumed to be linear so that in total 100 percent of the market is assigned to the original ODS or the various ODS substitutes.,,,,,,,,,,,,,
2 The CFC-12 reciprocating chillers market for new systems transitioned to HCFC-22 overnight in 1993. This transition is not shown in the table in order to provide the HFC transitions in greater detail.,,,,,,,,,,,,,
"3 DX refers to direct expansion systems where the compressors are mounted together in a rack and share suction and discharge refrigeration lines that run throughout the store, feeding refrigerant to the display cases in the sales area.",,,,,,,,,,,,,
"4 DR refers to distributed refrigeration systems that consist of multiple smaller units that are located close to the display cases that they serve such as on the roof above the cases, behind a nearby wall, or on top of or next to the case in the sales area.",,,,,,,,,,,,,
5 SLS refers to secondary loop systems wherein a secondary fluid such as glycol or carbon dioxide is cooled by the primary refrigerant in the machine room and then pumped throughout the store to remove heat from the display equipment.,,,,,,,,,,,,,
"6 The CFC-12 large retail food market for new systems transitioned to R-502 from 1988 to 1990, and subsequently transitioned to HCFC-22 from 1990 to 1993. These transitions are not shown in the table in order to provide the HFC transitions in greater detail.",,,,,,,,,,,,,
7 Growth Rate is the average annual growth rate for individual market sectors from the base year to 2030.,,,,,,,,,,,,,
