Table A-170:  Estimated Volatile Solids (VS) and Total Nitrogen Excreted (Nex) Production Rates by State for Cattle (other than Calves) and American Bisona for 2018 (kg/animal/year) [1],,,,,,,,,,,,,,,,,,
,Volatile Solids,,,,,,,,,Nitrogen Excreted,,,,,,,,
Michigan,"3,064","1,252","1,589","1,010",927,691,670,"1,643","1,643",168,69,75,49,43,56,57,85,85
Minnesota,"2,708","1,252","1,589","1,008",927,691,670,"1,643","1,643",153,69,75,49,43,56,57,85,85
Mississippi,"2,291","1,252","1,664","1,098",975,691,669,"1,721","1,721",137,69,73,50,42,56,57,83,83
Missouri,"2,189","1,252","1,589","1,033",927,691,669,"1,643","1,643",131,69,75,51,43,56,57,85,85
Montana,"2,754","1,252","1,891","1,248","1,120",691,670,"1,956","1,956",155,69,59,40,33,56,57,69,69
Nebraska,"2,897","1,252","1,589",991,927,691,670,"1,643","1,643",161,69,75,48,43,56,57,85,85
Nevada,"2,754","1,252","1,891","1,244","1,120",691,668,"1,956","1,956",155,69,59,40,33,55,56,69,69
New Hampshire,"2,668","1,252","1,674","1,081",981,691,669,"1,731","1,731",151,69,74,50,42,56,57,84,84
New Jersey,"2,581","1,252","1,674","1,088",981,691,668,"1,731","1,731",147,69,74,50,42,56,57,84,84
New Mexico,"2,964","1,252","1,891","1,237","1,120",691,669,"1,956","1,956",164,69,59,40,33,56,57,69,69
New York,"2,887","1,252","1,674","1,078",981,691,668,"1,731","1,731",161,69,74,49,42,56,57,84,84
North Carolina,"2,734","1,252","1,664","1,097",975,691,668,"1,721","1,721",156,69,73,50,42,56,57,83,83
North Dakota,"2,710","1,252","1,589","1,021",927,691,670,"1,643","1,643",153,69,75,50,43,56,57,85,85
Ohio,"2,687","1,252","1,589","1,027",927,691,670,"1,643","1,643",152,69,75,51,43,56,57,85,85
Oklahoma,"2,498","1,252","1,664","1,073",975,691,669,"1,721","1,721",144,69,73,49,42,56,57,83,83
Oregon,"2,623","1,252","1,891","1,231","1,120",691,669,"1,956","1,956",149,69,59,40,33,56,57,69,69
Pennsylvania,"2,656","1,252","1,674","1,083",981,691,669,"1,731","1,731",151,69,74,50,42,56,57,84,84
Rhode Island,"2,313","1,252","1,674","1,097",981,691,669,"1,731","1,731",136,69,74,51,42,56,57,84,84
South Carolina,"2,384","1,252","1,664","1,100",975,691,671,"1,721","1,721",141,69,73,50,42,56,58,83,83
South Dakota,"2,771","1,252","1,589","1,014",927,691,670,"1,643","1,643",156,69,75,50,43,56,57,85,85
Tennessee,"2,448","1,252","1,664","1,086",975,691,669,"1,721","1,721",144,69,73,50,42,56,57,83,83
Texas,"2,866","1,252","1,664","1,061",975,691,670,"1,721","1,721",160,69,73,48,42,56,57,83,83
Utah,"2,841","1,252","1,891","1,244","1,120",692,671,"1,956","1,956",159,69,59,40,33,56,58,69,69
Vermont,"2,679","1,252","1,674","1,077",981,691,668,"1,731","1,731",152,69,74,49,42,56,57,84,84
Virginia,"2,644","1,252","1,664","1,086",975,691,670,"1,721","1,721",152,69,73,50,42,56,57,83,83
Washington,"2,878","1,252","1,891","1,213","1,120",691,670,"1,956","1,956",160,69,59,39,33,56,57,69,69
West Virginia,"2,285","1,252","1,674","1,100",981,691,670,"1,731","1,731",135,69,74,51,42,56,57,84,84
Wisconsin,"2,872","1,252","1,589","1,033",927,691,670,"1,643","1,643",160,69,75,51,43,56,57,85,85
Wyoming,"2,820","1,252","1,891","1,242","1,120",691,669,"1,956","1,956",158,69,59,40,33,56,57,69,69
a Beef NOF Bull values were used for American bison Nex and VS.,,,,,,,,,,,,,,,,,,
Source:  CEFM. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[1] This table has not been updated for the current (1990 through 2019) Inventory. It will be updated for the next (1990 through 2020) Inventory submission.,,,,,,,,,,,,,,,,,,
