Table A-135: Foam Blowing Market Transition Assumptions,,,,,,,,,,,,,
Initial Market Segment,Primary Substitute,,,,Secondary Substitute,,,,Tertiary Substitute,,,,
CFC-11,Non-ODP/GWP ,1992,1992,100%,None,,,,,,,,2.00%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Phenolic Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1990,100%,Non-ODP/GWP ,1992,1992,100%,None,,,,2.00%
Polyolefin Foam,,,,,,,,,,,,,
CFC-114,HFC-152a,1989,1993,10%,Non-ODP/GWP ,2005,2010,100%,None ,,,,2.00%
,HCFC-142b,1989,1993,90%,Non-ODP/GWP ,1994,1996,100%,None,,,,
PU and PIR Rigid: Boardstock,,,,,,,,,,,,,
CFC-11,HCFC-141b,1993,1996,100%,Non-ODP/GWP ,2000,2003,95%,None,,,,4.80%
,,,,,HC/HFC-245fa Blend,2000,2003,5%,Non-ODP/GWP,2017,2017 ,100%,
PU Rigid: Domestic Refrigerator and Freezer Insulation,,,,,,,,,,,,,
CFC-11,HCFC-141b,1993,1995,100%,HFC-134a,1996,2001,7%,Non-ODP/GWP,2002,2003,100%,0.80%
,,,,,HFC-245fa,2001,2003,50%,Non-ODP/GWP ,2015,2020,50%,
,,,,,,,,,HCFO-1233zd(E),2015,2020,50%,
,,,,,HFC-245fa,2006,2009,10%,Non-ODP/GWP,2015,2020,50%,
,,,,,,,,,HCFO-1233zd(E),2015,2020,50%,
,,,,,Non-ODP/GWP,2002,2005,10%,None,,,,
,,,,,Non-ODP/GWP,2006,2009,3%,None,,,,
,,,,,Non-ODP/GWP,2009,2014,20%,None,,,,
PU Rigid: One Component Foam,,,,,,,,,,,,,
CFC-12,HCFC-142b/22 Blend ,1989,1996,70%,Non-ODP/GWP ,2009,2010,80%,None,,,,4.00%
,,,,,HFC-134a,2009,2010,10%,HFO-1234ze(E),2018 ,2020 ,100%,
,,,,,HFC-152a,2009,2010,10%,None,,,,
,HCFC-22,1989,1996,30%,Non-ODP/GWP ,2009,2010,80%,None,,,,
,,,,,HFC-134a,2009,2010,10%,HFO-1234ze(E),2018 ,2020 ,100%,
,,,,,HFC-152a,2009,2010,10%,None,,,,
PU Rigid: Other: Slabstock Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1996,100%,CO2,1999,2003,45%,None,,,,2.00%
,,,,,Non-ODP/GWP ,2001,2003,45%,None,,,,
,,,,,HCFC-22,2003,2003,10%,Non-ODP/GWP,2009,2010,100%,
PU Rigid: Sandwich Panels: Continuous and Discontinuous,,,,,,,,,,,,,
HCFC-141b2,HCFC-22/Water Blend ,2001,2003,20%,HFC-245fa/CO2 Blend,2009,2010,50%,HCFO-1233zd(E),2015,2020,100%,6.00%
,,,,,Non-ODP/GWP,2009,2010,50%,None,,,,
,HFC-245fa/CO2 Blend ,2002,2004,20%,HCFO-1233zd(E),2015,2020,100%,None,,,,
,Non-ODP/GWP ,2001,2004,40%,None,,,,,,,,
,HFC-134a,2002,2004,20%,Non-ODP/GWP ,2015,2020,100%,None,,,,
HCFC-22,HFC-245fa/CO2 Blend,2009,2010,40%,HCFO-1233zd(E),2015,2020,100%,None,,,,
,Non-ODP/GWP ,2009,2010,20%,None,,,,,,,,
,CO2,2009,2010,20%,None,,,,,,,,
,HFC-134a,2009,2010,20%,Non-ODP/GWP ,2015,2020,100%,None,,,,
PU Rigid: High Pressure Two-Component Spray Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1996,100%,HFC-245fa,2002,2003,C,HFO-1336mzz(Z),2016,2020,100%,0.80%
,,,,,HFC-245fa/CO2 Blend,2002,2003,C,HFO-1336mzz(Z)/CO2 Blend,2016,2020,100%,
,,,,,HFC-227ea/HFC-365mfc Blend,2002,2003,C,HCFO-1233zd(E),2016,2020,100%,
PU Rigid: Low Pressure Two-Component Spray Foam,,,,,,,,,,,,,
CFC-12,HCFC-22,1989,1996,100%,HFC-245fa,2002,2003,15%,HCFO-1233zd(E),2017,2021,100%,0.80%
,,,,,HFC-134a,2002,2003,85%,HFO-1234ze,2017,2021,100%,
XPS: Boardstock Foam,,,,,,,,,,,,,
CFC-12,HCFC-142b/22 Blend ,1989,1994,10%,HFC-134a,2009,2010,70%,Non-ODP/GWP ,2021,2021,100%,2.50%
,,,,,HFC-152a,2009,2010,10%,None,,,,
,,,,,CO2,2009,2010,10%,None,,,,
,,,,,Non-ODP/GWP ,2009,2010,10%,None,,,,
,HCFC-142b,1989,1994,90%,HFC-134a,2009,2010,70%,Non-ODP/GWP ,2021,2021,100%,
,,,,,HFC-152a,2009,2010,10%,None,,,,
,,,,,CO2,2009,2010,10%,None,,,,
,,,,,Non-ODP/GWP ,2009,2010,10%,None,,,,
XPS: Sheet Foam,,,,,,,,,,,,,
CFC-12,CO2,1989,1994,1%,None,,,,,,,,2.00%
,Non-ODP/GWP ,1989,1994,99%,CO2,1995,1999,9%,None,,,,
,,,,,HFC-152a,1995,1999,10%,None,,,,
C (Confidential),,,,,,,,,,,,,
1 Transitions between the start year and date of full penetration in new equipment are assumed to be linear so that in total 100 percent of the market is assigned to the original ODS or the various ODS substitutes.,,,,,,,,,,,,,
2 The CFC-11 PU Rigid: Sandwich Panels: Continuous and Discontinuous market for new systems transitioned to 82 percent HCFC-141b and 18 percent HCFC-22 from 1989 to 1996. These transitions are not shown in the table in order to provide the HFC transitions in greater detail.,,,,,,,,,,,,,
3 Growth Rate is the average annual growth rate for individual market sectors from the base year to 2030.,,,,,,,,,,,,,
4 CFC-11 was the initial blowing agent used for through 1989. This transition is not shown in the table in order to provide the HFC transitions in greater detail.,,,,,,,,,,,,,
