Table A-104:  Total U.S. Greenhouse Gas Emissions from Transportation and Mobile Sources (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode / Vehicle Type / Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Percent Change 1990-2019
Gasoline b,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1.1,1.0,193%
Diesel b,8.0,7.4,7.7,8.4,8.8,8.7,9.1,9.2,9.5,10.6,10.3,9.4,8.9,9.6,13.7,10.7,10.7,15.7,14.8,13.7,13.6,14.4,15.5,15.4,16.8,17.1,16.7,18.0,19.3,19.4,142%
AFVs c,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.9,1.0,1.2,1.2,1.6,1.4,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1257%
HFCs from Comfort Cooling,0.0,0.0,0.0,0.0,+,+,+,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA
Motorcycles,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.9,1.9,1.7,1.7,1.6,1.7,1.6,1.9,4.2,4.3,4.1,3.6,3.5,4.0,3.8,3.8,3.7,3.9,3.8,3.8,3.6,111%
Gasoline b,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.9,1.9,1.7,1.7,1.6,1.7,1.6,1.9,4.2,4.3,4.1,3.6,3.5,4.0,3.8,3.8,3.7,3.9,3.8,3.8,3.6,111%
Aircraft,189.2,173.4,171.1,172.5,179.9,176.7,189.0,189.0,192.6,197.0,199.4,193.9,189.4,183.1,190.6,193.6,186.3,183.4,176.7,157.4,154.8,149.9,146.5,150.1,151.3,160.5,169.0,174.8,175.5,181.1,-4%
General Aviation Aircraft,42.9,34.6,36.4,35.3,40.3,35.8,44.6,42.4,48.9,43.2,35.9,43.7,45.1,36.9,41.9,40.1,30.1,24.4,30.5,21.2,26.7,22.5,19.9,23.6,20.9,26.8,35.1,33.3,32.8,33.7,-22%
Jet Fuel f,39.8,31.7,33.5,32.6,37.6,33.0,41.9,39.6,46.4,40.5,33.4,41.2,42.7,34.7,39.7,37.6,27.7,22.2,28.5,19.4,24.8,20.6,18.2,22.0,19.4,25.3,33.7,31.8,31.2,32.0,-19%
Aviation Gasoline,3.2,3.0,2.9,2.7,2.7,2.8,2.6,2.8,2.5,2.8,2.6,2.5,2.4,2.1,2.2,2.5,2.4,2.2,2.0,1.9,1.9,1.9,1.8,1.6,1.5,1.5,1.5,1.5,1.6,1.7,-48%
Commercial Aircraft,110.9,104.3,106.5,109.8,114.6,116.3,119.7,124.0,120.8,131.6,140.6,125.8,122.4,124.0,126.0,134.0,138.3,141.0,128.4,120.6,114.4,115.7,114.3,115.4,116.3,120.1,121.5,129.2,130.8,135.4,22%
Jet Fuel f,110.9,104.3,106.5,109.8,114.6,116.3,119.7,124.0,120.8,131.6,140.6,125.8,122.4,124.0,126.0,134.0,138.3,141.0,128.4,120.6,114.4,115.7,114.3,115.4,116.3,120.1,121.5,129.2,130.8,135.4,22%
Military Aircraft,35.3,34.5,28.2,27.5,24.9,24.5,24.6,22.6,22.9,22.2,22.9,24.5,21.9,22.2,22.7,19.5,18.0,18.0,17.7,15.5,13.7,11.7,12.2,11.1,14.1,13.6,12.4,12.3,11.9,12.0,-66%
Jet Fuel f,35.3,34.5,28.2,27.5,24.9,24.5,24.6,22.6,22.9,22.2,22.9,24.5,21.9,22.2,22.7,19.5,18.0,18.0,17.7,15.5,13.7,11.7,12.2,11.1,14.1,13.6,12.4,12.3,11.9,12.0,-66%
Ships and Boats d,47.0,41.7,57.1,53.8,55.4,58.8,55.9,42.4,35.8,44.8,65.8,42.9,47.7,37.8,40.4,45.4,48.5,55.2,45.6,39.1,44.9,46.4,40.3,39.7,29.1,33.8,40.8,43.9,41.2,40.4,-14%
Gasoline,14.4,14.5,14.5,14.4,14.3,14.3,14.4,14.4,14.4,14.4,14.5,14.4,14.3,14.3,14.0,13.9,13.6,13.4,12.6,12.4,11.8,11.4,11.1,10.9,10.6,10.7,10.7,10.8,10.9,10.9,-25%
Distillate Fuel,9.7,10.2,12.3,11.5,13.8,15.0,17.5,17.5,15.2,16.8,17.4,16.1,15.7,15.6,11.8,11.6,11.1,11.8,11.6,11.6,11.3,14.0,11.4,11.5,10.2,16.2,14.0,13.2,12.6,10.7,10%
Residual Fuel e,22.8,17.0,30.4,27.9,27.2,29.4,23.9,10.4,6.0,13.3,33.7,12.1,17.3,7.5,14.2,19.5,23.3,29.3,20.6,14.1,20.7,19.6,16.0,15.3,5.9,4.3,13.1,16.7,14.2,14.9,-35%
HFCs from Refrigerated Transport e,0.0,0.0,0.0,+,+,+,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.2,1.5,1.7,2.0,2.3,2.6,2.9,3.3,3.6,3.9,NA
Rail,39.0,36.8,37.8,38.8,41.7,43.1,43.9,44.1,44.5,46.1,46.6,46.9,46.4,48.2,50.9,51.5,53.4,52.5,48.7,41.1,44.0,45.2,43.9,44.5,46.4,44.1,40.3,41.5,43.3,40.7,4%
Distillate Fuel f,35.8,33.7,34.7,35.7,38.5,40.0,40.7,40.9,41.1,42.7,43.0,43.0,42.7,43.7,46.1,46.5,48.7,47.2,43.8,36.4,39.3,40.6,39.8,40.2,42.1,40.2,36.6,37.9,39.7,37.4,5%
Electricity,3.1,3.0,3.0,3.1,3.2,3.1,3.1,3.1,3.2,3.3,3.5,3.7,3.5,4.3,4.6,4.8,4.6,5.1,4.7,4.5,4.5,4.3,3.9,4.1,4.1,3.8,3.5,3.4,3.4,3.1,2%
Other Emissions from Rail Electricity Use g,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.0,-100%
HFCs from Comfort Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,NA
HFCs from Refrigerated Transport e,0.0,0.0,0.0,0.0,0.0,0.0,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NA
Pipelines h,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.6,36.7,32.8,31.3,32.4,32.4,34.4,35.9,37.1,37.3,38.1,40.6,46.2,39.4,38.5,39.2,41.3,49.9,53.7,49%
Natural Gas,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.6,36.7,32.8,31.3,32.4,32.4,34.4,35.9,37.1,37.3,38.1,40.6,46.2,39.4,38.5,39.2,41.3,49.9,53.7,49%
Other Transportation,11.8,10.6,10.8,11.0,11.5,11.3,11.0,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10.0,9.1,9.6,10.0,11.0,10.4,9.6,9.2,8.9,-25%
Lubricants,11.8,10.6,10.8,11.0,11.5,11.3,11.0,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10.0,9.1,9.6,10.0,11.0,10.4,9.6,9.2,8.9,-25%
Non-Transportation Mobile i Total,167.3,168.2,170.0,169.7,171.9,173.8,175.3,177.7,178.2,176.0,179.5,193.1,197.5,207.7,219.7,224.9,230.6,221.9,212.0,203.7,206.0,204.1,204.3,206.3,203.4,192.4,195.4,201.9,207.6,211.5,26%
"Agricultural Equipment i,j",44.8,44.3,44.3,44.4,44.7,44.6,44.3,44.7,43.7,41.6,41.2,42.6,43.6,45.3,50.6,52.6,56.4,53.8,49.5,48.0,48.2,48.4,49.7,47.3,47.5,42.4,41.4,41.0,41.0,40.8,-9%
Gasoline,7.7,7.3,7.6,7.9,8.5,8.6,8.6,9.2,8.5,6.5,6.1,7.5,7.8,8.1,10.3,10.1,11.6,9.9,5.8,6.2,6.4,7.3,8.0,6.0,5.9,1.4,1.5,1.5,1.5,1.2,-85%
Diesel,37.1,36.8,36.6,36.3,36.1,35.9,35.6,35.4,35.1,34.9,34.9,35.0,35.8,37.2,40.2,42.4,44.7,43.7,43.5,41.7,41.7,41.0,41.6,41.3,41.5,40.8,39.7,39.4,39.5,39.6,7%
CNG,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-13%
LPG,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-9%
"Construction/Mining Equipment i,k",50.3,50.9,51.6,52.2,53.3,54.2,55.1,56.1,56.4,56.7,59.0,64.4,66.7,71.5,75.5,78.5,78.8,74.9,71.5,68.1,67.3,66.0,64.9,68.1,63.1,58.7,61.8,67.0,70.2,72.3,44%
Gasoline,4.4,4.1,4.0,3.7,4.0,4.0,4.1,4.2,3.6,3.1,3.3,6.3,6.6,7.1,7.4,6.9,6.9,5.7,5.6,5.4,6.2,5.8,5.9,10.0,6.4,3.3,3.4,3.4,3.5,3.5,-21%
Diesel,45.5,46.4,47.2,48.0,48.9,49.7,50.6,51.4,52.3,53.1,55.2,57.6,59.6,63.8,67.5,71.0,71.3,68.7,65.3,62.2,60.6,59.7,58.5,57.6,56.2,54.9,57.9,63.1,66.2,68.3,50%
CNG,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,26%
LPG,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,21%
"Other Equipment i,l",72.2,73.1,74.0,73.1,73.9,74.9,75.9,76.8,78.1,77.7,79.3,86.1,87.2,90.9,93.7,93.8,95.5,93.2,91.1,87.6,90.5,89.7,89.7,90.9,92.9,91.3,92.2,93.9,96.4,98.4,36%
Gasoline,40.6,41.0,41.5,40.2,40.6,41.2,41.7,42.2,43.0,42.2,43.2,50.0,50.4,52.4,53.6,53.0,53.7,51.3,49.7,48.3,50.1,48.4,47.0,46.9,47.6,45.7,46.3,46.6,47.2,47.6,17%
Diesel,22.1,22.0,22.0,21.9,21.9,21.8,21.8,21.7,21.7,21.6,21.8,21.8,22.3,23.4,24.7,25.5,26.2,26.4,26.2,25.1,25.9,26.7,27.9,28.8,29.7,29.9,30.1,30.8,32.0,32.9,49%
CNG,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.8,2.0,2.1,2.2,2.2,2.1,2.2,2.3,2.4,101%
LPG,8.3,8.8,9.3,9.7,10.2,10.7,11.1,11.6,12.1,12.5,12.9,12.8,13.1,13.6,13.8,13.9,14.0,13.9,13.5,12.6,12.8,12.9,12.9,13.1,13.3,13.5,13.7,14.3,15.0,15.5,86%
Transportation and Non-Transportation Mobile Total l,"1,697.1","1,651.8","1,713.0","1,749.8","1,807.1","1,844.1","1,901.8","1,930.8","1,973.8","2,042.7","2,096.7","2,082.4","2,127.1","2,145.5","2,190.3","2,205.4","2,211.2","2,201.5","2,087.6","2,004.5","2,012.7","1,977.6","1,957.8","1,962.6","1,993.9","1,990.8","2,029.6","2,053.7","2,090.6","2,092.0",23%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Increases to CH4 and N2O emissions from mobile combustion relative to previous Inventories are largely due to updates made to the Motor Vehicle Emissions Simulator (MOVES2014b) model that is used to estimate on-road gasoline vehicle distribution and mileage across the time series, as well as non-transportation mobile fuel consumption. See Section 3.1 “CH4 and N2O from Mobile Combustion” for more detail. This year’s Inventory uses the NONROAD component of MOVES2014b for years 1999 through 2019. In 2016, historical confidential vehicle sales data were re-evaluated to determine the engine technology assignments. First, several light-duty trucks were re-characterized as heavy-duty vehicles based upon gross vehicle weight rating (GVWR) and confidential sales data. Second, the emission standards each vehicle type was assumed to have met were re-examined using confidential sales data. Also, in previous Inventories, non-plug-in hybrid electric vehicles (HEVs) were considered alternative fueled vehicles and therefore not included in the engine technology breakouts. For this Inventory, HEVs are classified as gasoline vehicles across the entire time series.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NA (Not Applicable), as there were no HFC emissions allocated to the transport sector in 1990, and thus a growth rate cannot be calculated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Not including emissions from international bunker fuels. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Gasoline and diesel highway vehicle fuel consumption estimates used to develop CO2 estimates in this Inventory are based on data from FHWA Highway Statistics Table MF-21, MF-27 and VM-1 (FHWA 1996 through 2019). Data from Table VM-1 are used to estimate the share of fuel consumption between each on-road vehicle class. For mobile CH4 and N2O emissions estimates, gasoline and diesel highway vehicle mileage estimates are based on data from FHWA Highway Statistics Table VM-1 (FHWA 1996 through 2019). These fuel consumption and mileage estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2018). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c  In 2017, estimates of alternative fuel vehicle mileage for the last ten years were revised to reflect updates made to EIA data on alternative fuel use and vehicle counts. These changes were incorporated into this year’s Inventory and apply to the 2005 to 2019 time period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Fluctuations in emission estimates reflect data collection problems. Note that CH4 and N2O from U.S. Territories are included in this value, but not CO2 emissions from U.S. Territories, which are estimated separately in the section on U.S. Territories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Domestic residual fuel for ships and boats is estimated by taking the total amount of residual fuel and subtracting out an estimate of international bunker fuel use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f  Class II and Class III diesel consumption data for 2014 to 2019 is not available. Diesel consumption data for 2014-2019 is estimated by applying the historical average fuel usage per carload factor to the annual number of carloads.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"g  Other emissions from electricity generation are a result of waste incineration (as the majority of municipal solid waste is combusted in “trash-to-steam” electricity generation plants), electrical transmission and distribution, and a portion of Other Process Uses of Carbonates (from pollution control equipment installed in electricity generation plants).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h Includes only CO2 from natural gas used to power natural gas pipelines; does not include emissions from electricity use or non-CO2 gases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i Note that the method used to estimate CO2 emissions from non-transportation mobile sources in this supplementary information table differs from the method used to estimate CO2 in the industrial and commercial sectors in the Inventory, which include CO2 emissions from all non-transportation mobile sources (see Section 3.1 for the methodology for estimating CO2 emissions from fossil fuel combustion in this Inventory).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Includes equipment, such as tractors and combines, as well as fuel consumption from trucks that are used off-road in agriculture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"k Includes equipment, such as cranes, dumpers, and excavators, as well as fuel consumption from trucks that are used off-road in construction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l “Other"" includes snowmobiles and other recreational equipment, logging equipment, lawn and garden equipment, railroad equipment, airport equipment, commercial equipment, and industrial equipment, as well as fuel consumption from trucks that are used off-road for commercial/industrial purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
