Table A-255: Quantitative Assessment of Trend Uncertainty (MMT CO2 Eq. and Percent) ,,,,,
Gas/Source,Base Year Emissions  a,2019 Emissions,Emissions Trend,Trend Range b,
HCFC-22 Production,46.1,3.7,-92%,-93%,-90%
Aluminum Production,21.5,1.8,-92%,-92%,-91%
Magnesium Production and Processing,5.2,1,-81%,-86%,-78%
Total Emissions f,"6,442.70","6,558.30",2%,-3%,7%
LULUCF Emissions g,7.9,23.5,196%,124%,306%
LULUCF Carbon Stock Change Flux h,-908.7,-812.7,-11%,-37%,27%
LULUCF Sector Net Total i,-900.8,-789.2,-12%,-38%,25%
Net Emissions (Sources and Sinks) f,"5,541.90","5,769.00",4%,-3%,13%
Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration. Total emissions (excluding emissions for which uncertainty was not quantified) are presented without LULUCF. Net emissions are presented with LULUCF. ,,,,,
+ Does not exceed 0.05 MMT CO2 Eq. or 0.5 percent.,,,,,
NE (Not Estimated),,,,,
a Base Year is 1990 for all sources.,,,,,
"b The trend range represents a 95 percent confidence interval for the emission trend, with the lower bound corresponding to 2.5th percentile value and the upper bound corresponding to 97.5th percentile value.",,,,,
c Emissions from Wood Biomass and Biofuel Consumption are not included specifically in the energy sector totals.,,,,,
d Emissions from International Bunker Fuels are not included in the totals.,,,,,
"e This source category’s estimate for 2019 excludes 0.029 MMT CO2 Eq. of HTF emissions, as uncertainties associated with those sources were not assessed. Hence, for this source category, the emissions reported in this table do not match the emission estimates presented in the Industrial Processes and Product Use chapter of the Inventory.",,,,,
f Totals exclude emissions for which uncertainty was not quantified. ,,,,,
"g LULUCF emissions include the CH4 and N2O emissions reported for Peatlands Remaining Peatlands, Forest Fires, Drained Organic Soils, Grassland Fires, and Coastal Wetlands Remaining Coastal Wetlands; CH4 emissions from Land Converted to Coastal Wetlands; and N2O emissions from Forest Soils and Settlement Soils.",,,,,
"h LULUCF Carbon Stock Change is the net C stock change from the following categories: Forest Land Remaining Forest Land, Land Converted to Forest Land, Cropland Remaining Cropland, Land Converted to Cropland, Grassland Remaining Grassland, Land Converted to Grassland, Wetlands Remaining Wetlands, Land Converted to Wetlands, Settlements Remaining Settlements, and Land Converted to Settlements.",,,,,
i The LULUCF Sector Net Total is the net sum of all CH4 and N2O emissions to the atmosphere plus net carbon stock changes.,,,,,
