Table A-183: Total Land Areas by Land-Use and Management System for the Tier 2 Mineral Soil Organic C Approach (Million Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,
,Land Areas (million hectares),,,,,,,,,,,,,,,,,,,,,,,,,
"Medium Input Cropping Systems, No Tillage",1.85,1.71,1.68,1.63,1.62,1.6,1.58,1.52,1.45,1.41,1.44,2.33,2.35,2.41,2.4,2.39,2.53,2.57,2.58,2.49,2.49,2.39,2.77,2.49,2.83,2.79
"Low Input Cropping Systems, Full Tillage",9.46,9.31,9.31,9.34,9.3,9.4,9.14,9.17,9.3,9.13,9.08,8.21,8.25,8.26,8.11,8.13,7.93,7.83,7.78,7.75,7.72,7.46,7.54,7.52,7.46,7.6
"Low Input Cropping Systems, Reduced Tillage",1.06,1.04,1.04,1.05,1.05,1.07,1.08,1.07,1.11,1.05,1.04,1.11,1.11,1.06,1.01,1.01,1.08,1.02,1,1,1.01,1,1.04,1.04,0.97,1.01
"Low Input Cropping Systems, No Tillage",0.68,0.73,0.73,0.74,0.73,0.72,0.9,0.9,0.92,0.86,0.89,1.53,1.52,1.45,1.36,1.38,1.67,1.59,1.56,1.54,1.55,1.39,1.45,1.45,1.34,1.42
Hay with Legumes or Irrigation,1.67,1.67,1.69,1.64,1.5,1.44,1.35,1.38,1.31,1.25,1.14,1.04,1.2,1.18,1.16,1.18,1.16,1.14,1.11,1.06,1.02,0.98,0.99,1.02,1.02,1.02
Hay with Legumes or Irrigation and Manure,0.5,0.49,0.5,0.51,0.48,0.45,0.43,0.47,0.46,0.44,0.41,0.42,0.54,0.52,0.54,0.5,0.49,0.48,0.47,0.46,0.45,0.43,0.43,0.47,0.47,0.48
"Hay, Unimproved",0.01,0.01,0.02,0.02,0.02,0.02,0,0.01,0.07,0.05,0.01,0.03,0.04,0.04,0.05,0.04,0.02,0.03,0.01,0.02,0.02,0.03,0.02,0.01,0,0
Pasture with Legumes or Irrigation in Rotation,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.01,0.02,0.02,0.03,0.03,0.03,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0,0
"Pasture with Legumes or Irrigation and Manure, in Rotation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Rice  ,0.04,0.05,0.04,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.06,0.06,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03
Perennials,2.24,2.24,2.31,2.36,2.28,2.25,2.24,2.32,2.38,2.37,2.31,2.28,2.42,2.43,2.46,2.49,2.46,2.44,2.46,2.44,2.47,2.5,2.53,2.55,2.59,2.65
Grassland Systems ,118.68,118.22,117.88,117.4,117.11,116.46,115.87,115.14,114.93,114.47,114.13,113.98,113.57,113.2,113.04,112.67,112.34,111.96,111.8,111.65,111.45,111.22,110.9,110.66,110.5,110.29
Pasture with Legumes or Irrigation,3.62,3.47,3.28,3.25,3.27,3.14,2.83,2.41,2.51,2.46,2.26,2.17,2.08,2.01,2.05,1.97,1.91,1.86,1.84,1.85,1.8,1.79,1.71,1.61,1.64,1.59
Pasture with Legumes or Irrigation and Manure,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07
Rangelands and Unimproved Pasture,82.27,81.87,81.82,81.68,81.42,80.82,79.85,79.64,78.94,78.42,78.83,78.54,79.53,79.6,78.73,78.47,78.36,78,77.9,77.74,77.75,77.73,77.46,77.4,77.04,77.37
"Rangelands and Unimproved Pasture, Moderately Degraded",23.62,23.78,23.91,23.79,23.84,23.95,24.43,24.3,25.08,25.11,24.46,24.7,23.63,23.19,23.22,23.25,23.15,23.25,23.24,23.25,23.17,23.06,22.89,22.8,22.61,22.51
"Rangelands and Unimproved Pasture, Severely Degraded",9.01,8.93,8.72,8.53,8.43,8.41,8.6,8.65,8.25,8.34,8.46,8.46,8.22,8.28,8.93,8.87,8.82,8.76,8.74,8.71,8.65,8.57,8.77,8.79,9.14,8.74
Total,152.15,151.4,150.75,149.76,148.97,147.85,146.83,145.63,144.61,143.64,142.91,142.42,141.7,141.08,140.59,140.05,139.5,138.95,138.63,138.27,137.96,137.55,137.19,136.9,136.66,136.25
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In the current Inventory, NRI data only provide land use and management statistics through 2015. Additional data will be incorporated in the future to extend the time series for the land use and management data.",,,,,,,,,,,,,,,,,,,,,,,,,,
