Table A-237: Summary of Sources and Sinks Not Included in the Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2019,,,,
CRF Category Number,Source/Sink Category,Gas(es),Reason for Exclusion,Estimated 2019 Emissions 
2.B.8.d,Petrochemical and Carbon Black Production,CO2 recovery,"EPA’s GHGRP has data starting in reporting year 2010 on the amount of CO2 captured, including at petrochemical facilities and ethylene oxide processes. Due to schedule and resource constraints, data on CO2 sequestration have not been compiled and need to be reviewed to better understand available data to estimate the fate of these captured emissions. Any CO2 potentially captured from petrochemical facilities is currently assumed to be released.  ",NE
2.C. Metal Industry,,,,
2.C.1.c,Iron and Steel Production: Direct Reduced Iron (DRI) Production,CH4,"Data on fuel consumption used in the production of DRI are not readily available to apply the IPCC default Tier 1 CH4 emission factor. However, an assumed emission factor can be developed based on the default energy consumption of 12.5 GJ natural gas per metric ton of DRI produced. Based on this assumption and annual DRI production in metric tons results in CH4 emissions of 0.74 kt CO2. Eq.",0.74
2.E Electronics Industry,,,,
2.E.2,Fluorinated Gas Emissions from Electronics Industry: TFT Flat Panel Displays,"HFCs, PFCs,","In addition to requiring reporting of emissions from semiconductor manufacturing, micro-electro-mechanical systems (MEMs), and photovoltaic cells, EPA’s GHGRP requires the reporting of emissions from the manufacture of flat panel displays. However, no flat panel displays manufacturing facilities have ever reported to EPA’s GHGRP, indicating that there are no facilities in the United States that have exceeded the GHGRP’s applicability threshold for display manufacturers since 2010. The available information on this sector indicates that these emissions are well below the significance threshold.[6] Per this published literature, the United States has never been significant display manufacturer aside from a small amount of manufacturing in the 1990s, but not mass production.",NE
,,"SF6, and NF3",,
2.G Other,,,,
2.G.2,Other Product Manufacture and Use: SF6 and PFCs from Other Product Use,SF6 ,"Emissions of SF6 occur from particle accelerators and military applications, and emissions of PFCs and other F-GHGs occur from military applications such as use of fluorinated heat transfer fluids (HTFs). Emissions from some particle accelerators and from military applications are reported by the U.S. government to the Federal Energy Management Program along with emissions of other fluorinated greenhouse gases (e.g., HFCs from mobile and stationary air conditioning) under the categories “Fugitive Fluorinated Gases and Other Fugitive Emissions” and “Industrial Process Emissions.” Analysis of the underlying data for 2018 indicated “fugitive” emissions of SF6 of approximately 600 kt CO2 Eq. from the U.S. government as a whole, and “process” emissions of SF6 of approximately 100 kt CO2 Eq. (Emissions of SF6 that are known to be accounted for elsewhere, such as under Electrical Transmission and Distribution, have been excluded from these totals.) The sources of the “fugitive” emissions of SF6 were not identified, but the source of the vast majority of “process” emissions of SF6 was particle accelerators. ",700
,,,"Note, fugitive emissions of approximately 200 kt CO2 Eq. of compounds that are commonly used as fluorinated HTFs (HFEs and fully fluorinated compounds, likely perfluoroamines, perfluoromorpholines, and/or PFPMIEs) were also reported. Per paragraph 33 of the UN reporting guidelines, such “additional GHGs” should be reported separately from national totals so are not considered in estimate of 2019 emissions. EPA plans to contact reporting agencies to better understand the sources of the emissions and the estimation methods used by reporters, which may equate emissions to consumption and therefore over- or underestimate some emissions, depending on the circumstances. This step will help EPA improve its assessment of significance and prioritize incorporating estimates in future Inventory submissions. ",
Agriculture,,,,
3.A Livestock,,,,
3.A.4,Enteric Fermentation: Camels,CH4,"Enteric fermentation emissions from camels are not estimated because there is no significant population of camels in the United States. Due to limited data availability (no population data are available from the USDA Agricultural Census), the estimates are based on use of IPCC defaults and population data from Baum, Doug (2010).[7] Based on this source, a Tier 1 estimate of enteric fermentation CH4 emissions from camels results in a value of approximately 2.8 kt CO2 Eq. per year from 1990 to 2019. See Chapter 5.1 for more information.",2.8
3.A.4,Enteric Fermentation: Poultry,CH4,No IPCC method has been developed for determining enteric fermentation CH4 emissions from poultry. See Chapter 5.1. ,No method provided in IPCC Guidelines
"3.B.1.4, 3.B.2",Manure Management: Camels,CH4 and N2O,"Manure management emissions from camels are not estimated because there is no significant population of camels in the United States.[8] Due to limited data availability and disproportionate effort to collect time-series data (i.e., no population data is available from the Agricultural Census), this estimate is based on population data from Baum, Doug (2010).[9] Based on this source, a Tier 1 estimate of manure management CH4 and N2O emissions from camels results in a value of approximately 0.14 kt CO2 Eq. per year from 1990 to 2019. See Chapter 5.2 for more information.",0.14
3.F Field Burning of Agricultural Residues,,,,
"3.F.1.4, 3.F.4",Sugarcane,CH4 and N2O,"Currently available data did not allow for identification of burning of sugarcane. Based on prior analysis, EPA estimates that sugarcane emissions may range from less than 10.4 to 61.2 kt CO2 Eq. (0.42 kt CH4 to 2.45 kt CH4), and less than 11.4 kt CO2 Eq. (0.04 kt N2O), across the 1990 to 2016 time series. The estimate for 2016 (37.8 kt CO2 Eq.) is the most recent estimate available and can be used as a proxy for 2019. See the Planned Improvements section in Chapter 5.7 Field Burning of Agricultural Residues for more information.",37.8
"Land Use, Land-Use Change, and Forestry",,,,
4.A Forest Land ,,,,
4.A(II),Emissions and Removals from Rewetting of Organic and Mineral Soils,CO2 and CH4,Emissions from this source may be estimated in future Inventories when data necessary for classifying the area of rewetted organic and mineral soils become available.,NE
4.A.1 Forest Land Remaining Forest Land,,,,
4.A.1,N mineralization/ immobilization,N2O,Direct N2O emissions from N mineralization/immobilization associated with loss or gain of soil organic matter resulting from change of land use or management of mineral soils will be estimated in a future Inventory. They are not estimated currently because resources have limited EPA’s ability to use the available data on soil carbon stock changes on forest lands to estimate these emissions. ,NE
4.B Cropland,,,,
4.B(II),Emissions and Removals from Rewetting of Organic and Mineral Soils,CO2 and CH4,"Emissions of CO2 and CH4 from rewetting on mineral or organic cropland soils are not currently estimated due to lack of activity data on rewetting, except for CH4 emissions from drainage and rewetting for rice cultivation.",NE
4.B.1 Cropland Remaining Cropland,,,,
4.B.1,Carbon Stock Change in Living Biomass and Dead Organic Matter,CO2,"Carbon stock change in living biomass and dead organic matter are not estimated, other than for forest land converted to cropland, because data are currently not available. The impact of management on perennial biomass C is currently under investigation for agroforestry management and will be included in a future Inventory if stock changes are significant and activity data can be compiled for this source.",NE
4.B.1(V),Biomass Burning—Controlled Burning,CO2,Emissions of CO2 from biomass burning on Croplands Remaining Cropland are only relevant for perennial biomass and as noted under 4.B.1 above. EPA does not currently include carbon stock change for perennial biomass on Cropland Remaining Cropland.  The CO2 emissions from controlled burning of crop biomass are not estimated for annual crops as they are part of the annual cycle of C and not considered net emissions. Methane and N2O emissions are included under 3.F Field Burning of Agricultural Residues. ,NE
4.B.1(V),Biomass Burning—Wildfires,"CO2, CH4, and N2O","Emissions from wildfires are not estimated because the activity data on fire area and fuel load, particularly for perennial vegetation, are not available to apply IPCC methods.",NE
4.B.2 Land Converted to Cropland,,,,
4.B.2,Carbon Stock Change in Perennial Living Biomass and Dead Organic Matter,CO2,"Carbon stock change in living biomass and dead organic matter are not estimated, other than for forest land converted to cropland, because data are currently not available. The impact of management on perennial biomass C is currently under investigation for agroforestry management and will be included in a future Inventory if stock changes are significant and activity data can be compiled for this source.",NE
4.B.2(V),Biomass Burning—Wildfires and Controlled Burning,CO2,"Emissions of CO2 from biomass burning on Land Converted to Cropland are only relevant for perennial biomass and as noted under 4.B.2 above EPA does not currently include carbon stock change for perennial biomass on Land Converted to Cropland. Emissions from wildfires are not estimated because the activity data on fire area and fuel load, particularly for perennial vegetation, are not available.",NE
4.C Grassland,,,,
4.C(II),Emissions and Removals from Rewetting of Organic and Mineral Soils ,CO2 and CH4,Emissions of CH4 from drainage and CO2 and CH4 from rewetting on mineral or organic Grassland soils are not currently estimated due to lack of activity data. ,NE
,,,,
4.C.2 Land Converted to Grassland,,,,
4.C.2,Carbon Stock Change in Living Biomass and Dead Organic Matter,CO2,"Carbon stock change in living biomass and dead organic matter are not estimated, other than for forest land converted to grassland, because data are currently not available. The impact of management on perennial biomass C is currently under investigation for agroforestry management and will be included in a future Inventory if stock changes are significant and activity data can be compiled for this source.",NE
4.D Wetlands,,,,
4.D(II),Flooded Lands and Peat Extraction Lands: Emissions and Removals from Drainage and Rewetting and Other Management of Organic and Mineral Soils,"CO2, CH4, and N2O",Data are currently not available to apply IPCC methods and estimate emissions from rewetting of peat extraction lands and flooded lands.,NE
4.D.1 Wetlands Remaining Wetlands,,,,
4.D.1(V),"Biomass Burning: Controlled Burning, Wildfires","CO2, CH4, and N2O",Data are not currently available to apply IPCC methods to estimate emissions from biomass burning in Wetlands. ,NE
4.D.1.2,Carbon Stock Change in Flooded Land Remaining Flooded Land,CO2,"Carbon stock changes in flooded land remaining flooded land are not estimated due to lack of activity data, other than for peatlands and coastal wetlands. See the Wetlands chapter in the Inventory report to apply IPCC methods.",NE
4.D.2 Land Converted to Wetlands,,,,
4.D.2(V),"Biomass Burning: Controlled Burning, Wildfires","CO2, CH4, and N2O",Data are not currently available to apply IPCC methods to estimate emissions from biomass burning in Wetlands. ,NE
4.E Settlements,,,,
4.E(V),Biomass Burning in Settlements,"CO2, CH4, and N2O",Data are currently not available to apply IPCC methods to estimate emissions from biomass burning in Settlements. ,NE
4.E.1 Settlements Remaining Settlements,,,,
4.E.1,Settlements Remaining Settlements,CH4,Data are not currently available to apply IPCC methods to estimate CH4 emissions in Settlements.,NE
4.E.1,Direct N2O Emissions from N Mineralization/Immobilization (Mineral Soils) ,N2O,Activity data are not available on N2O emissions from nitrogen mineralization/immobilization in Settlements Remaining Settlements and Land Converted to Settlements as a result of soil organic carbon stock losses from land use conversion and management.,NE
4.E.2 Land Converted to Settlements,,,,
4.E.2,Direct N2O Emissions from N Mineralization/Immobilization ,N2O,Activity data are not available on N2O emissions from nitrogen mineralization/immobilization in Settlements Remaining Settlements and Land Converted to Settlements as a result of soil organic carbon stock losses from land use conversion and management.,NE
4.F Other Land,,,,
4.F(V),Biomass Burning,"CO2, CH4, and N2O",Data are not currently available to estimate emissions from biomass burning in Other Lands., NE
Waste,,,,
5.A.1 Solid Waste Disposal,,,,
5.A.1.a,Managed Waste Disposal Sites-Anaerobic,CH4 and N2O,"The amount of CH4 flared and the amount of CH4 for energy recovery is not estimated for the years 2005 through 2019 in the time series. The amount of CH4 flared and recovered for 2005 and each subsequent Inventory year, i.e., through 2019, is included in the net CH4 emissions estimates. A methodological change was made for 2005 to the current Inventory year to use the directly reported net CH4 emissions from the EPA’s GHGRP versus estimate CH4 generation and recovery. See the Methodology explanation in Section 7.1.  ",NE
5.B Biological Treatment of Solid Waste,,,,
5.B.1.a,Composting – Municipal Solid Waste,Recovered CH4 and N2O,"CH4 and N2O emissions from combustion of the recovered gas at composting sites are very small “so good practice in the Waste Sector does not require their estimation.” (IPCC 2006, Volume 5, Chapter 4, pp. 4.5).  EPA will periodically assess trends and based on significance consider reflecting as over time as data become available and prioritize with other improvements to make best use of available resources.  Estimating at this time given the likely significance would require a disproportionate amount of effort, so this will be considered for future Inventories based on trends and available data.",NE
"5.B.2.a, 5.B.2.b",Anaerobic Digestion at Biogas Facilities—Municipal Solid Waste and Other Waste, N2O,"N2O emissions from anaerobic digestion of municipal solid waste at biogas facilities are not estimated because N2O emissions are assumed to be negligible. Further, measured data are scare and no default EFs are provided in the guidelines to facilitate a proxy of these emission). See IPCC (2006) Volume 5, Chapter 4, p. 4.6, Table 4.1.",NE
5.D Wastewater Treatment,,,,
5.D.2,Industrial Wastewater,CH4,"Emissions associated with sludge generated from the treatment of industrial wastewater is not included because the likely level of emissions is insignificant and because quantitative activity data on who operates anaerobic sludge digesters is unavailable. It would require a disproportionate amount of effort to collect this data, and more recent methodological work also suggests this is the case (i.e., Table 6.3 (Updated) in the IPCC 2019 Refinement only identifies CH4 emissions from anaerobic digestion of sludge as a source of emissions to be reported in the Wastewater sector [note that N2O is noted as “not significant” in Table 6.8A]).  Methane emissions from the wastewater treatment category are not considered a key source category (see Annex 1, Table A-1). In addition, the United States continues to review the six industries included in the wastewater sector to determine if activity data are sufficient to include methane emissions from anaerobic digestion of sludge.  The United States has worked first with the pulp and paper industry to confirm that virtually no pulp and paper mills operate anaerobic sludge digesters and will continue to identify stakeholders in the remaining five industries to confirm sludge management techniques. The United States notes that methane emissions associated with anaerobic digestion of ethanol waste (a combination of process wastewater and solids) is already included in the Inventory and is not considered sludge management.",5
,,,"The United States believes the likely level of emissions associated with anaerobic digestion of industrial wastewater sludge is less than 5 kt CO2 Eq., which is considered insignificant for the purposes of inventory reporting under the UNFCCC.",
,,,,
"NE (Not Estimated), indicating also it is not possible to derive a likely level of emissions and/or removals or quantified estimate due to lack of approximated activity data and/or in some cases also default emission factors but a method is available in the 2006 IPCC Guidelines. ",,,,
,,,,
,,,,
[1] See <https://www.iata.org/pressroom/facts_figures/fact_sheets/Documents/fact-sheet-alternative-fuels.pdf>.,,,,
[2] RTI 2009. Updated Hospital/Medical/Infectious Waste Incinerator (HMIWI) Inventory Database.,,,,
[3] Ruby Canyon Engineering 2008. “Accounting for Carbon Dioxide Emissions in the Coal Emissions Inventory”. Memorandum from Ruby Canyon Engineering to EPA.,,,,
[4] Ibid.,,,,
[5] Ibid.,,,,
"[6] The Display Industry: Fast to Grow, Slow to Change Article?in?Information Display 28(5):18-21 · May 2012?with?4. DOI: 10.1002/j.2637-496X.2012.tb00504.x The Display Industry: Fast to Grow, Slow to Change. Available online at: <http://archive.informationdisplay.org/id-archive/2012/may-june/display-marketplace-the-display-industry-fast-to>.",,,,
[7] The status of the camel in the United States of America. Available online at: <https://www.soas.ac.uk/camelconference2011/file84331.pdf>.,,,,
"[8] Paragraph 37(b) of Decision 24/CP.19 “Revision of the UNFCCC reporting guidelines on annual inventories for Parties included in Annex I to the Convention."" See <http://unfccc.int/resource/docs/2013/cop19/eng/10a03.pdf>.",,,,
[9] The status of the camel in the United States of America. Available online at: <https://www.soas.ac.uk/camelconference2011/file84331.pdf>.,,,,
