"Table A-165: CH4 Emissions from Enteric Fermentation from Cattle (metric tons), by State, for 2017 [1]",,,,,,,,,,,,,
State,Dairy Calves,Dairy Cows,Dairy Replace-ment Heifers  ,Dairy Replace-ment Heifers 12-23 Months,Bulls,Beef Calves,Beef Cows,Beef Replace-ment Heifers 7-11 Months,Beef Replace-ment Heifers 12-23 Months,Steer Stockers,Heifer Stockers,Feedlot,Total
N. Car.,281,"7,503",347,"1,234","3,017","1,982","34,821",962,"2,698","1,209",793,197,"55,046"
N. Dakota,100,"2,150",116,412,"6,184","4,979","87,773","2,797","7,862","6,994","6,652","2,423","128,442"
Ohio,"1,634","34,910","1,546","5,494","2,854","1,503","26,498","1,019","2,862","6,034","1,856","7,220","93,430"
Oklahoma,218,"4,923",292,"1,037","15,570","11,224","197,165","6,062","17,008","25,315","14,758","14,436","308,008"
Oregon,773,"17,045",884,"3,142","4,155","3,158","54,856","1,579","4,405","4,693","3,932","3,941","102,564"
Penn.,"3,275","77,384","4,533","16,111","2,440",994,"17,459",909,"2,549","4,514","1,910","4,416","136,494"
R. Island,5,103,7,26,10,8,132,6,16,14,6,2,334
S. Car.,94,"2,181",110,393,"1,460",911,"15,999",460,"1,290",225,317,58,"23,498"
S. Dakota,724,"15,937",580,"2,060","9,513","8,685","153,097","5,364","15,075","20,296","16,397","18,574","266,302"
Tenn.,256,"6,121",552,"1,964","6,325","4,870","85,548","2,021","5,669","3,797","2,856",679,"120,659"
Texas,"3,056","79,064","3,794","13,486","33,086","23,895","419,740","11,288","31,671","72,851","42,845","115,505","850,281"
Utah,574,"13,699",748,"2,659","2,805","1,955","33,958","1,278","3,566","2,422","2,052","1,017","66,733"
Vermont,805,"19,182",806,"2,864",293,75,"1,321",77,216,113,207,31,"25,989"
Virginia,543,"14,030",600,"2,132","3,892","3,445","60,514","1,561","4,379","4,641","2,222",969,"98,928"
Wash.,"1,715","41,488","1,632","5,801","1,870","1,301","22,605",872,"2,433","5,753","4,001","9,072","98,544"
W. Virg.,50,"1,015",58,205,"1,464","1,113","19,535",531,"1,490","1,100",541,190,"27,292"
Wisconsin,"7,984","182,246","9,145","32,507","2,854","1,514","26,682","1,086","3,053","10,971","1,547","12,871","292,460"
Wyoming,37,839,39,137,"4,155","4,129","71,735","2,781","7,762","4,844","4,684","3,514","104,657"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
[1] This table has not been updated for the current (1990 through 2019) draft Inventory.,,,,,,,,,,,,,
