"Table 2-8:  U.S. Greenhouse Gas Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Changes in Settlement Tree Carbon Stocks,-96.4,-97.6,-98.6,-100.2,-101.7,-103.3,-104.8,-106.4,-107.7,-109,-110.4,-111.4,-112.3,-114.1,-115.8,-117.4,-118.9,-120.4,-121.9,-123.3,-124.6,-126,-126.7,-128,-129.4,-130.4,-129.8,-129.8,-129.8,-129.8
Changes in Yard Trimming and Food Scrap Carbon Stocks in Landfills,-24.5,-24,-21,-18.6,-15.5,-13.5,-13,-11.8,-12.2,-13.4,-13.4,-13.6,-11.8,-11.3,-11.4,-11.4,-10.7,-10.7,-12.6,-13.3,-12.7,-12.3,-11.7,-12.1,-12.3,-11.1,-10,-9.8,-9.8,-10.2
N2O Emissions from Settlement Soils h,2,2,2.3,2.5,2.4,2.4,2.5,2.4,2,2.1,2.6,2.5,2.2,2.4,3.1,3.1,3.2,3.2,3.2,3,2.1,2.4,2.1,2.2,2.2,2.2,2.2,2.3,2.4,2.4
Land Converted to Settlements,62.9,64.4,66,67.8,69.6,71.6,73.5,75.7,77.5,79.3,81.3,82.9,84,84.5,84.7,85,85.1,85.1,84.9,84.5,84.1,83.5,83,82.2,81.4,80.1,79.4,79.3,79.3,79.2
Changes in all Ecosystem Carbon Stocks f,62.9,64.4,66,67.8,69.6,71.6,73.5,75.7,77.5,79.3,81.3,82.9,84,84.5,84.7,85,85.1,85.1,84.9,84.5,84.1,83.5,83,82.2,81.4,80.1,79.4,79.3,79.3,79.2
LULUCF Emissions i,7.9,8.2,7.5,7.5,8.7,7.8,9.3,7.5,8.1,9.9,11.2,9.5,22.2,17.8,20.1,16.8,12.6,22.8,12.1,15.6,11.9,12.7,22.2,11.6,17,27.8,13.2,26,23.4,23.5
LULUCF Carbon Stock Change j,-908.7,-906.9,-893.7,-874.9,-892.2,-863.1,-880.4,-863.3,-870.9,-866.5,-865.1,-861.7,-837.9,-854.9,-755.2,-804.8,-859.9,-821.6,-803.8,-771.9,-795.8,-813.3,-829.2,-800.2,-815.5,-791.7,-856,-792,-824.9,-812.7
LULUCF Sector Net Total k,-900.8,-898.6,-886.2,-867.5,-883.5,-855.3,-871.1,-855.8,-862.8,-856.6,-854,-852.3,-815.7,-837,-735.1,-788.1,-847.3,-798.8,-791.7,-756.2,-783.9,-800.6,-807,-788.5,-798.5,-763.8,-842.8,-766.1,-801.4,-789.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Includes the net changes to carbon stocks stored in all forest ecosystem pools and harvested wood products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Estimates include emissions from fires on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Estimates include emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Estimates include emissions from drained organic soils on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Includes the net changes to carbon stocks stored in all forest ecosystem pools.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Includes changes in mineral and organic soil carbon stocks for all land use conversions to cropland, grassland, and settlements, respectively. Also includes aboveground/belowground biomass, dead wood, and litter carbon stock changes for conversion of forest land to cropland, grassland, and settlements, respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Estimates include emissions from fires on both Grassland Remaining Grassland and Land Converted to Grassland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h Estimates include emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements because it is not possible to separate the activity data at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i LULUCF emissions include the CH4 and N2O emissions reported for Peatlands Remaining Peatlands, Forest Fires, Drained Organic Soils, Grassland Fires, and Coastal Wetlands Remaining Coastal Wetlands; CH4 emissions from Land Converted to Coastal Wetlands; and N2O emissions from Forest Soils and Settlement Soils. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j LULUCF Carbon Stock Change includes any C stock gains and losses from all land use and land use conversion categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k The LULUCF Sector Net Total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus net carbon stock changes in units of MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
