Table 3-7:  CO2 Emissions from Stationary Fossil Fuel Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Coal,12,11.1,11.3,11.3,11.3,11.2,11.6,12.3,8.9,9.8,8.8,9.2,8.6,7.8,9.8,9.3,6.2,6.7,7.6,6.9,6.6,5.8,4.1,3.9,3.8,3,2.3,2,1.8,1.6
,Natural Gas,142,148.1,152.1,154.9,157,164.2,171.1,174.3,163.3,165.2,172.5,164.2,170.5,172.9,169.8,162.9,153.8,163.6,171.2,169.1,168,170.7,157,179.2,189.2,175.4,170.5,173.2,192.5,192.8
,Fuel Oil,74.3,73.4,64.6,56.9,56.4,52.4,54.8,51.3,47.9,45.8,55.3,55,50,59.4,58.4,54.9,51.7,52.8,48.7,52.1,49.9,47.9,39.1,41.1,39.4,66.2,58.7,56.8,51.4,55.3
,Residential,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.1,336.8
,Coal,3,2.4,2.5,2.5,2,1.7,1.6,1.5,1.1,1.3,1.1,1.1,1.2,1.2,1.1,0.8,0.6,0.7,0,0,0,0,0,0,0,NO,NO,NO,NO,NO
,Natural Gas ,237.8,247.3,254.6,268.2,262.9,262.8,284,270.1,246.1,256.4,270.8,259.2,265.1,276.2,264.2,262.2,237.3,256.4,265.7,259.1,258.9,255.1,225.1,266.4,277.7,252.7,238.4,241.5,273.8,275.3
,Fuel Oil,97.8,98,96.9,95.4,92.1,88.7,97.9,93.4,84.4,93.2,99.8,102.7,94.9,102.8,103.8,95.9,83.8,84,82.2,77.4,75.8,71.1,57.3,62.8,68.9,64.6,54.4,51.9,64.2,61.5
,U.S. Territories,21.7,21.5,23.1,24,25.7,23.7,22.6,23.1,22.5,21,42.4,52.6,49.3,55.1,56.8,55.9,54.3,50.4,40.6,39.6,34.8,33.4,33.2,27.6,28.7,29.2,26,24.6,24.6,24.6
,Coal,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,1,3.1,2.9,3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,2.8,4,4.1,3.2,2.5,2.5,2.5
,Natural Gas ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7,1.2,1.2,1.4,1.3,1.3,1.4,1.4,1.6,1.5,1.5,1.4,2.6,3.1,3.2,3,3.4,2.5,2.5,2.5
,Fuel Oil,21.2,21,22.7,23.6,25.3,23.3,22.2,22.7,22.1,20.6,41.3,50.9,47.1,50.5,52.5,51.6,49.5,45.5,35.6,34.7,29.9,28.5,27.2,21.7,21.4,22.1,19.4,19.5,19.5,19.5
,Total,"3,262.40","3,258.40","3,302.20","3,384.60","3,410.80","3,441.70","3,586.90","3,631.30","3,641.60","3,625.50","3,816.30","3,768.10","3,764.90","3,832.20","3,876.00","3,894.90","3,808.00","3,893.20","3,795.80","3,493.70","3,649.50","3,538.90","3,345.80","3,453.50","3,459.30","3,289.00","3,151.70","3,072.00","3,174.90","3,039.50"
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
