Table 1-4: Key Categories for the United States (1990 and 2019),,,,,,,,,,
CRF Source/Sink Categories,Gas,Approach 1,,,,Approach 2 (includes uncertainty) ,,,,2019 Emissions (MMT CO2 Eq.)
2.F.1 Emissions from Substitutes for Ozone Depleting Substances: Refrigeration and Air conditioning,"HFCs, PFCs",•,•,•,•,•,•,•,•,133.4
2.F.4 Emissions from Substitutes for Ozone Depleting Substances: Aerosols,"HFCs, PFCs",,•,,•,•,•,,•,16.3
2.F.2 Emissions from Substitutes for Ozone Depleting Substances: Foam Blowing Agents,"HFCs, PFCs",,•,,•,,,,,16.1
2.F.3 Emissions from Substitutes for Ozone Depleting Substances: Fire Protection,"HFCs, PFCs",,,,,,•,,,2.8
2.F.5 Emissions from Substitutes for Ozone Depleting Substances: Solvents,"HFCs, PFCs",,,,,,•,,,2
2.G SF6 Emissions from Electrical Transmission and Distribution,SF6,•,•,•,•,,•,,•,4.2
2.B.9 HFC-23 Emissions from HCFC-22 Production,HFCs,•,•,•,•,,•,,•,3.7
2.C.3 PFC Emissions from Aluminum Production,PFCs,•,•,•,•,,,,,1.8
Agriculture ,,,,,,,,,,
3.G CO2 Emissions from Liming,CO2,,,,,,•,,,2.4
3.A.1 CH4 Emissions from Enteric Fermentation: Cattle,CH4,•,•,•,•,•,,•,,172.3
3.B.1 CH4 Emissions from Manure Management: Cattle,CH4,•,•,•,•,,•,,•,35.4
3.B.4 CH4 Emissions from Manure Management: Other Livestock,CH4,•,,•,,,,,,26.9
3.C CH4 Emissions from Rice Cultivation,CH4,,,,,•,,•,,15.1
3.D.1 Direct N2O Emissions from Agricultural Soil Management,N2O,•,•,•,•,•,•,•,•,290.4
3.D.2 Indirect N2O Emissions from Applied Nitrogen,N2O,•,•,•,•,•,•,•,•,54.2
Waste,,,,,,,,,,
5.A CH4 Emissions from Landfills,CH4,•,•,•,•,•,•,•,•,114.5
5.D CH4 Emissions from Wastewater Treatment,CH4,•,,•,,•,,,,18.4
5.D N2O Emissions from Wastewater Treatment,N2O,•,,•,,•,•,•,•,26.4
"Land Use, Land Use Change, and Forestry",,,,,,,,,,
4.E.2 Net CO2 Emissions from Land Converted to Settlements,CO2,,,•,•,,,•,•,79.2
4.B.2 Net CO2 Emissions from Land Converted to Cropland,CO2,,,•,,,,•,,54.2
4.C.1 Net CO2 Emissions from Grassland Remaining Grassland,CO2,,,,,,,•,•,14.5
4.B.1 Net CO2 Emissions from Cropland Remaining Cropland,CO2,,,•,•,,,•,•,-14.5
4.C.2 Net CO2 Emissions from Land Converted to Grassland,CO2,,,•,•,,,•,•,-23.2
4.A.2 Net CO2 Emissions from Land Converted to Forest Land,CO2,,,•,,,,•,,-99.1
4.E.1 Net CO2 Emissions from Settlements Remaining Settlements,CO2,,,•,•,,,•,•,-124.1
4.A.1 Net CO2 Emissions from Forest Land Remaining Forest Land,CO2,,,•,•,,,•,•,-691.8
4.A.1 CH4 Emissions from Forest Fires,CH4,,,,•,,,,,9.5
Subtotal Without LULUCF,,,,,,,,,,"6,398.60"
Total Emissions Without LULUCF,,,,,,,,,,"6,558.30"
Percent of Total Without LULUCF,,,,,,,,,,98%
Subtotal With LULUCF,,,,,,,,,,"5,598.00"
Total Emissions With LULUCF,,,,,,,,,,"5,769.10"
Percent of Total With LULUCF,,,,,,,,,,97%
