Baseline Agriculture,,,,,,,,,,,,,,,,,
Greenhouse gas emissions for Agricultural Activites,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,
Sector,Subsector,End-Use Application,Activity,Activity Type,Activity Basis,Case,Flow Name,Formula,Unit,Year,Value,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2041,3.382878571,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2042,3.417042857,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2043,3.451207143,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2044,3.485371429,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2045,3.519535714,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2046,3.5537,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2047,3.587864286,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2048,3.622028571,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2049,3.656192857,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2050,3.690357143,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2020,0.072837736,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2021,0.073736226,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2022,0.074634717,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2023,0.075533208,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2024,0.076431698,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2025,0.077330189,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2026,0.078228679,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2027,0.07912717,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2028,0.08002566,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2029,0.080924151,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2030,0.081822642,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2031,0.082721132,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2032,0.083619623,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2033,0.084518113,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2034,0.085416604,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2035,0.086315094,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2036,0.087213585,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2037,0.088112075,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2038,0.089010566,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2039,0.089909057,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2040,0.090807547,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2041,0.091706038,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2042,0.092604528,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2043,0.093503019,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2044,0.094401509,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2045,0.0953,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2046,0.096198491,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2047,0.097096981,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2048,0.097995472,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2049,0.098893962,,,,,,
Agriculture,-,Manure management - N2O,,,,BAU,Nitrous oxide,N2O,MMmt,2050,0.099792453,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2050,583814087,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2049,576075989,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2048,568507874,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2047,561092163,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2046,553910034,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2045,546840942,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2044,539815002,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2043,532942627,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2042,526194336,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2041,519462524,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2040,512937744,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2039,506368774,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2038,499651703,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2037,492986206,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2036,486340698,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2035,479930267,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2034,473397888,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2033,466867065,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2032,461187073,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2031,454618164,,,,,,
Agriculture,-,On Farm Energy Use,,,,BAU,Distillate Fuel Oil,,MMBtu,2030,448606140,,,,,,
